,ensembl_gene_id,mgi_symbol,entrezgene
467,ENSMUSG00000097373,Gm26877,NA
468,ENSMUSG00000083536,Gm15808,NA
469,ENSMUSG00000028910,Mecr,26922
470,ENSMUSG00000082554,Gm15806,NA
471,ENSMUSG00000114552,Gm48570,NA
472,ENSMUSG00000114545,Gm32184,NA
473,ENSMUSG00000044117,2900011O08Rik,67254
474,ENSMUSG00000094288,Astx2,NA
475,ENSMUSG00000019738,Polr2i,69920
476,ENSMUSG00000039748,Exo1,26909
477,ENSMUSG00000101923,Gm29041,NA
478,ENSMUSG00000100738,2010106C02Rik,NA
479,ENSMUSG00000004031,Brinp2,240843
480,ENSMUSG00000085526,Gm16083,NA
481,ENSMUSG00000071000,Olfr155,29845
482,ENSMUSG00000045333,Zfp423,94187
483,ENSMUSG00000004665,Cnn2,12798
484,ENSMUSG00000103751,Gm37283,NA
485,ENSMUSG00000102139,Gm37109,NA
486,ENSMUSG00000104843,Gm5308,NA
487,ENSMUSG00000104584,Rpl18a-ps3,NA
488,ENSMUSG00000106401,Gm43284,NA
489,ENSMUSG00000115259,,NA
490,ENSMUSG00000085192,Gm12195,NA
491,ENSMUSG00000096580,Igkv1-132,NA
492,ENSMUSG00000068745,Mybphl,68753
493,ENSMUSG00000115415,,NA
494,ENSMUSG00000036644,Tbc1d9b,76795
495,ENSMUSG00000031577,Tti2,234138
496,ENSMUSG00000115205,,NA
497,ENSMUSG00000062638,Btnl1,100038862
498,ENSMUSG00000076505,Igkv1-131,NA
499,ENSMUSG00000083225,Gm15215,NA
500,ENSMUSG00000082598,Gm15212,NA
501,ENSMUSG00000108777,Gm45081,NA
502,ENSMUSG00000082970,Gm15214,NA
503,ENSMUSG00000104744,Gm18980,NA
504,ENSMUSG00000080778,Gm7199,NA
505,ENSMUSG00000095963,Gm7742,NA
506,ENSMUSG00000096461,Igkv14-130,NA
507,ENSMUSG00000093788,Vmn1r-ps147,NA
508,ENSMUSG00000090465,Gm3091,NA
509,ENSMUSG00000093906,Igkv9-129,NA
510,ENSMUSG00000106280,Gm42880,NA
511,ENSMUSG00000090801,Gm4862,NA
512,ENSMUSG00000043773,1700048O20Rik,NA
513,ENSMUSG00000057203,Vmn1r234,171232
514,ENSMUSG00000031364,Grpr,14829
515,ENSMUSG00000100541,Gm28871,NA
516,ENSMUSG00000091494,Gm3269,NA
517,ENSMUSG00000032224,Fam81a,76886
518,ENSMUSG00000109971,Gm45279,NA
519,ENSMUSG00000057116,AF366264,231201
520,ENSMUSG00000093648,Vmn1r-ps148,NA
521,ENSMUSG00000067698,Gm10220,434689
522,ENSMUSG00000112176,Gm48205,NA
523,ENSMUSG00000112900,Gm48204,NA
524,ENSMUSG00000091721,Gimd1,433653
525,ENSMUSG00000112571,Gm48207,NA
526,ENSMUSG00000112193,Gm48206,NA
527,ENSMUSG00000089904,Gm15664,NA
528,ENSMUSG00000084399,Gm15666,NA
529,ENSMUSG00000074281,Gm12522,NA
530,ENSMUSG00000104742,Igkv9-128,NA
531,ENSMUSG00000085282,Gm15663,NA
532,ENSMUSG00000108994,Gm31663,NA
533,ENSMUSG00000076508,Igkv17-127,NA
534,ENSMUSG00000036019,Tmtc2,278279
535,ENSMUSG00000101399,Gm28961,NA
536,ENSMUSG00000083695,Rnf138rt1,74264
537,ENSMUSG00000111940,Gm4478,NA
538,ENSMUSG00000054556,Gm4876,NA
539,ENSMUSG00000025486,Sirt3,64384
540,ENSMUSG00000052302,Tbc1d30,74694
541,ENSMUSG00000101268,2010310C07Rik,NA
542,ENSMUSG00000101350,Gm28962,NA
543,ENSMUSG00000114167,Gm7002,NA
544,ENSMUSG00000087586,Gm6938,NA
545,ENSMUSG00000075701,Selenos,109815
546,ENSMUSG00000100614,Gm28963,NA
547,ENSMUSG00000051238,Swsap1,66962
548,ENSMUSG00000097642,Gm26866,NA
549,ENSMUSG00000108033,Gm44284,NA
550,ENSMUSG00000103891,Gm37941,NA
551,ENSMUSG00000031578,Mak16,67920
552,ENSMUSG00000061815,Rufy4,435626
553,ENSMUSG00000101305,Gm29171,NA
554,ENSMUSG00000033419,Snap91,20616
555,ENSMUSG00000041670,Rims1,116837
556,ENSMUSG00000037363,Letm2,270035
557,ENSMUSG00000100501,Gm29466,NA
558,ENSMUSG00000006095,Tbcb,66411
559,ENSMUSG00000111053,,NA
560,ENSMUSG00000031790,Mmp15,17388
561,ENSMUSG00000100083,Gm29467,NA
562,ENSMUSG00000051537,Gm5124,NA
563,ENSMUSG00000012483,Rpa3,68240
564,ENSMUSG00000107832,Gm18688,NA
565,ENSMUSG00000031289,Il13ra2,16165
566,ENSMUSG00000049521,Cdc42ep1,104445
567,ENSMUSG00000071547,Nt5dc2,70021
568,ENSMUSG00000031877,Ces2g,72361
569,ENSMUSG00000021998,Lcp1,18826
570,ENSMUSG00000031536,Polb,18970
571,ENSMUSG00000021144,Mta1,116870
572,ENSMUSG00000041506,Rrp9,27966
573,ENSMUSG00000043501,Lgals2,107753
574,ENSMUSG00000090949,Vmn2r77,546983
575,ENSMUSG00000073043,Atoh1,11921
576,ENSMUSG00000104630,Trgj3,NA
577,ENSMUSG00000097852,4933405D12Rik,NA
578,ENSMUSG00000092195,Vmn2r-ps87,NA
579,ENSMUSG00000092376,Gm19203,NA
580,ENSMUSG00000032268,Tmprss5,80893
581,ENSMUSG00000091962,Vmn2r78,637896
582,ENSMUSG00000090223,Pcp4,18546
583,ENSMUSG00000070003,Ssbp4,76900
584,ENSMUSG00000094999,Gm17412,NA
585,ENSMUSG00000078430,Gm10936,NA
586,ENSMUSG00000023057,Fabp2,14079
587,ENSMUSG00000094468,Trav6-4,NA
588,ENSMUSG00000090362,Vmn2r79,621430
589,ENSMUSG00000021177,Tdp1,104884
590,ENSMUSG00000099650,Gm28129,NA
591,ENSMUSG00000000159,Igsf5,72058
592,ENSMUSG00000107758,Gm19253,NA
593,ENSMUSG00000095577,Gm6619,102638913
594,ENSMUSG00000100389,Rbm6-ps2,NA
595,ENSMUSG00000094762,Gm10670,100042971
596,ENSMUSG00000112512,Gm48203,NA
